,username,location,following,followers,totaltweets,retweets,text,hashtags,time
10,Olgold96,Illinois,3799,3288,56209,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-02 04:53:26
11,mishaklaw,"North Ridgeville, OH",119,64,11661,0,Covid Relief Stimulus: Where’s My Payment? https://t.co/0UsVXLJu8Y #covidrelief #currentevents #getmypayment #stimulus,"['covidrelief', 'currentevents', 'getmypayment', 'stimulus']",2021-07-01 22:38:17
12,JessicahExhibit,Ohio,102,24,1853,0,"@KamalaHarris I've  contacted the IRS, The White House, @JoeBiden and no reply. I'm someone who was directly impacted by Covid yet I didn't receive the 3rd stimulus. It seems I'm always getting screwed over financially. #racistchildsupportsystem #Stimulus #suffering","['racistchildsupportsystem', 'Stimulus', 'suffering']",2021-07-01 21:42:12
14,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @US_FDA Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:18:44
15,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @CDCgov Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:18:35
16,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @califf001 Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:18:12
17,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @RMKGandhi @harvardmed @NIH Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:52
18,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @NMQF Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:43
19,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @Reuters Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:31
21,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @DrKhaldun @HHS_ASPR Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:17:05
22,rennymc33,"Boston, MA",920,73,2180,0,"@HHSGov @Combat__COVID @SecBecerra @BrooksLaSureCMS Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:16:55
23,rennymc33,"Boston, MA",920,73,2180,0,"@HHSGov @Combat__COVID @BrooksLaSureCMS Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:16:44
25,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @saintjohnsheals Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:16:17
26,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @HHSGov @carlzimmer @nytimes Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:16:07
27,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @NIH Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:15:58
28,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @MDHealthDept @HHS_ASPR Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:15:47
29,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @MrinalikaRoy @Reuters Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:15:38
30,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @megtirrell @CNBC Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:15:30
33,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:13:47
34,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @BETAwards Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:13:37
35,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @harvardmed Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:13:28
37,rennymc33,"Boston, MA",920,73,2180,0,"@Combat__COVID @HHS_ASPR @DrKhaldun Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:13:08
38,rennymc33,"Boston, MA",920,73,2180,0,"@ASPRgov @Combat__COVID Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:12:57
43,GlennonMarkE,"Chicago, IL",421,1143,8080,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-01 13:50:40
44,CookCountyGOP,"Cook County, IL",771,2041,5457,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-01 13:24:52
45,RealCodyHolt,"Elgin, IL",411,147,438,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-01 12:58:03
46,ALittleEdgy,Madiganistan,935,194,10602,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-01 12:18:15
47,helen_aavik,"Illinois, USA",215,744,132839,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois']",2021-07-01 12:10:15
48,Wirepoints,"Chicago, IL",928,3047,14603,7,"It took $138 billion in federal #COVID relief and stimulus for #Illinois to get the first upgrade to its credit rating in 20 years. Now it's rated two notches above junk. 

https://t.co/jAwkFoQmmf #twill #muniland #Covid_19 #Covid19 @GovPritzker @MoodysInvSvc #stimulus","['COVID', 'Illinois', 'twill', 'muniland', 'Covid_19', 'Covid19', 'stimulus']",2021-07-01 12:01:06
49,Olgold96,Illinois,3799,3288,56209,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-07-01 07:11:10
50,lof_man,Lifetime Illinoisan  ,144,21,1426,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 20:46:51
51,eeners,"chicago, Il",2860,1302,40473,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 16:00:01
52,FreedbyGrace17,"Belleville, IL",1938,1519,15018,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 15:55:06
53,Chicago4L,"Chicago, IL",863,721,39524,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 15:53:20
54,swizze_gfrank,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,179,207,43659,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland']",2021-06-30 15:12:42
55,Wirepoints,"Chicago, IL",928,3047,14603,8,"Op-ed: Millions wasted in #Chicago and #Illinois on #COVID-19 contact tracing. 

https://t.co/X9KCpWWmZQ #twill #muniland #covid19 #covid_19 #stimulus @GlennonMarkE","['Chicago', 'Illinois', 'COVID', 'twill', 'muniland', 'covid19', 'covid_19', 'stimulus']",2021-06-30 14:38:32
56,SGMFX,"City of London, London",143,141,1819,0,"Morning Brief – Eco Warriors - SGM-FX Innovative Foreign Exchange Services https://t.co/1oT5wdeu59
#electriccars #electricvehicles #environment #emissions #Chicago #Tesla #centralbanks #covid #stimulus #houseprices #UK #government #liquidity #EUR #USD #France #Euros #PinkFloyd","['electriccars', 'electricvehicles', 'environment', 'emissions', 'Chicago', 'Tesla', 'centralbanks', 'covid', 'stimulus', 'houseprices', 'UK', 'government', 'liquidity', 'EUR', 'USD', 'France', 'Euros', 'PinkFloyd']",2021-06-30 08:17:44
73,ArmyOfEight,"Indianapolis, IN",356,206,7165,1,Give $2000/month to every American #moneyforthepeople #covid19 - Sign the Petition! https://t.co/CpHkSdi6v9 via @Change #Stimulus #COVID19,"['moneyforthepeople', 'covid19', 'Stimulus', 'COVID19']",2021-07-02 21:29:32
76,LegitUnlimited,United States,60,90,3207,1,Give $2000/month to every #American #moneyforthepeople #covid19 - #Sign the #Petition! https://t.co/DPou3gU6mP via @Change #Stimulus #Share #FinancialHelp #Stimy 500k to go !,"['American', 'moneyforthepeople', 'covid19', 'Sign', 'Petition', 'Stimulus', 'Share', 'FinancialHelp', 'Stimy']",2021-07-02 01:36:33
77,GHJ_Updates,"Los Angeles, CA",471,678,6306,0,How will businesses navigate uncertainty and #BusinessDisruption in 2021? #ICYMI watch the recording of GHJ’s #stimulus webinar with @FilmLA and @el_gallogiro about the #AmericanRescuePlanAct and #COVID19 recovery. https://t.co/uEBxw8J0PU #TogetherWeMakeItHappen @HLBI https://t.co/jnxuEZsjcc,"['BusinessDisruption', 'ICYMI', 'stimulus', 'AmericanRescuePlanAct', 'COVID19', 'TogetherWeMakeItHappen']",2021-07-01 22:40:07
78,rennymc33,"Boston, MA",920,73,2180,0,"@RepJoeNeguse Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:29:20
79,rennymc33,"Boston, MA",920,73,2180,0,"@StaceyPlaskett Please help us #LongHaulers financially with #Stimulus money. We are the forgotten ones who are debilitated, struggling in so many ways and can’t work. #HelpLongHaulers #COVID19 @POTUS @VP @Surgeon_General @SocialSecurity @CDCDirector @CDCgov @IRSnews @AOC","['LongHaulers', 'Stimulus', 'HelpLongHaulers', 'COVID19']",2021-07-01 15:28:44
