,username,location,following,followers,totaltweets,retweets,text,hashtags,time
58,ChiefSilva,"Toronto, Ontario",277,462,4256,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:50
59,steveinburnaby,"Burnaby, British Columbia",461,405,11409,0,"Well I knew we would have to take a Booster Shot.

With all the idiots that are acting as Petrie Dishes combined with the way the vaccines were rolled out, we will need booster shots to make us safer.

https://t.co/sPXml6i1xx",[],2021-07-08 23:56:50
60,FirstGentleman,└A(merica),1629,11134,406095,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:48
61,Shirley10090505,United States,3174,305,724456,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:48
62,PacManRick5,"Syracuse, NY ",465,291,23689,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:46
63,JasonSolowski,"Boston, MA",2482,1529,18108,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:44
64,diana_emm,Disneyland,176,46,24189,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:41
65,mariocantor,Miami,175,100,679,3654,"Pfizer says it plans to seek U.S. regulators’ approval for a third COVID-19 vaccine dose. The company says its research suggests antibody levels jump markedly after a third dose, but it's not yet clear if and when boosters might truly be needed. ​https://t.co/nD631SWYlx",[],2021-07-08 23:56:32
66,langdon,"Toronto, Ontario, Canada",597,611,14868,169,"Pfizer is about to seek U.S. authorization for a third dose of its COVID-19 vaccine, saying that another shot within 12 months could dramatically boost immunity and maybe help ward off the latest worrisome coronavirus mutant.
https://t.co/QkutLgajtj https://t.co/6zUcdjAezy",[],2021-07-08 23:56:29
67,HayatNorimine,"Boise, ID",1131,3427,6427,0,"It's legal for health care providers in Idaho, but not in Oregon, to require COVID-19 vaccines for employees. Here's why https://t.co/tOutA1jhyO",[],2021-07-08 23:58:33
