,username,location,following,followers,totaltweets,retweets,text,hashtags,time
43,o_blitz,"Anaheim, CA ",469,526,22873,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:11:01
44,msanchez_002,"Rosemead, CA",798,319,58207,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:07:16
45,MoniqueMuniz1,"Highland Park, Los Angeles",559,630,34348,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:03:49
46,andresaparizio,626 ,179,191,11099,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 23:02:32
47,aimtiaz,LA is #BehindYouSkipper,513,386,60850,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:55:14
48,Lilgabae,So Cal ,291,402,5780,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:54:50
49,fintan_smith,He/him,1411,66,217,2416,"Mild COVID-19 symptoms for you could make others seriously ill.

Don’t be the one to pass it on. Book a test:

🌐 Visit https://t.co/QLFJiiO5U2

📱 Use the NHS COVID-19 app

📞 Call 119",[],2021-07-08 22:54:21
50,cathbal66,"London, England",4996,3236,29589,870,"Mild COVID-19 symptoms for you could make others seriously ill.

Don’t be the one to pass it on. Get a test:

🌐 Visit https://t.co/QLFJiiO5U2

📱 Use the NHS COVID-19 app

📞 Call 119",[],2021-07-08 22:51:22
51,robkris13,The OC ~ Southern Calif😎rnia,175,2204,63373,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:49:43
52,Uncanny_Mac,"Somewhere In, California",2480,176,27574,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:49:28
53,yanira_ang,East Los Angeles,155,66,6841,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:47:48
54,NONONOEU,Norfolk UK,3978,5912,319646,2,"@Jade_N_King @NatstarCandy @Mumbomania You can get them online through the NHS if you are a teacher.  I identified as a teacher that day...
https://t.co/C8UplnyEO9",[],2021-07-08 22:46:30
55,ukwildcatsfan,KY,1976,1371,49002,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:45:17
56,STEMMusix,"Los Angeles, CA",2149,796,2767,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:41:26
57,AEgis7697,United States,4991,2717,20233,0,"Shit.
Delta variant is 'Covid-19 on steroids,' expert says, as some wonder if it's time to start testing vaccinated people

https://t.co/NVpWbE2Uwv",[],2021-07-08 22:41:24
58,nowawarekit,"Lowell, MA",4,14,2593,0,"The spread of the Delta #coronavirus variant in the US has some experts questioning whether it should be time to start testing even vaccinated people for the virus.

Stay safe with #NowAware: A quick and easy testing method that delivers an accurate diagnosis in just minutes. https://t.co/2pdBgkUIR6","['coronavirus', 'NowAware']",2021-07-08 22:40:00
59,1tiffanyyums,"los ángeles, ca",4981,1806,6615,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:38:56
60,Its_Claudiia,Califas.,338,88,48669,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:35:47
61,BSUPimp,"iPhone: 0.000000,0.000000",2829,3299,336733,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:34:34
62,Iz77,"Chula Vista, CA",1920,1002,26688,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:34:20
63,macdaddyjman,"San Fernando, CA",990,996,29500,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:33:13
64,AntonAurelius,Planet Earth ,838,77,30968,477,#BREAKING Los Angeles County sees 165% increase in new COVID-19 cases from last week as testing positivity rate doubles. https://t.co/MJsaZkLkID,['BREAKING'],2021-07-08 22:31:02
