,username,retweets,likes,text,hashtags,time
77,WhiteHouse,267,1943,"Each family will be connected with refugee resettlement organizations to help them begin their new lives in America. Our goal is to safely and efficiently welcome these allies and vulnerable Afghans, while taking all appropriate safety and public health measures.",[],2021-08-31 18:14:57
78,WhiteHouse,146,793,"Everyone will be tested for COVID on arrival in the U.S. and offered vaccines. Military bases are ready to take in SIV applicants and vulnerable Afghans for medical screenings, health care services, and other aid.",[],2021-08-31 18:14:57
79,WhiteHouse,128,625,"The screening process involves biometric and biographic security reviews conducted by our intelligence, law enforcement, and counterterrorism professionals who are working around the clock to vet all Afghans before they are allowed into the United States.",[],2021-08-31 18:14:55
80,WhiteHouse,130,634,Those with Special Immigrant Visas (SIVs) and vulnerable Afghans are being flown to third countries in Europe and Asia that have agreed to serve as transit hubs before undergoing robust security screening and flying to the U.S.,[],2021-08-31 18:14:54
81,WhiteHouse,934,5178,"Over the last weeks, our troops completed the largest airlift in U.S. military history – carrying more than 120,000 people from Afghanistan. Now, we are working to safely welcome the brave Afghan allies who worked with us, and other vulnerable Afghans to the U.S. Here’s how: https://t.co/kusgdATOQ7",[],2021-08-31 18:14:53
82,WhiteHouse,224,0,RT @fema: We're working with our partners to move #Ida response &amp; recovery efforts forward. We started conducting preliminary damage assess…,['Ida'],2021-08-31 17:30:15
83,WhiteHouse,667,0,"RT @DeptofDefense: Gen. McKenzie: In total, U.S. military and coalition aircraft combined to evacuate more than 123,000 civilians, which we…",[],2021-08-31 02:16:03
84,WhiteHouse,14916,0,"RT @DeptofDefense: The last American soldier to leave Afghanistan: Maj. Gen. Chris Donahue, commanding general of the @82ndABNDiv, @18airbo…",[],2021-08-31 02:08:10
85,WhiteHouse,686,4132,"There is no deadline for Americans who want to leave. The Secretary of State will lead the continued coordination with international partners to ensure safe passage for any Americans, Afghan partners, and foreign nationals who want to leave Afghanistan.",[],2021-08-31 01:29:42
86,WhiteHouse,400,3818,The 13 service members who we lost were heroes who made the ultimate sacrifice while saving the lives of others. Their bravery and selflessness enabled the evacuations of tens of thousands.,[],2021-08-31 01:29:41
87,WhiteHouse,206,1439,"Additionally, U.S. special operations forces reached out to help bring in more than 1,064 American citizens and 2017 SIVs or Afghans at risk, and 127 third country nationals via phone calls, vectors and escorting.",[],2021-08-31 01:29:41
88,WhiteHouse,196,1309,"On average, the U.S. military evacuated more than 7,500 civilians per day over the 18 days of the mission, which includes 16 full days of evacuations, and more than 19,000 on a single day.",[],2021-08-31 01:29:41
89,WhiteHouse,206,1257,"In total, U.S. and coalition aircraft combined to evacuate more than 123,000 civilians, which were all enabled by U.S. military service members who were securing and operating the airport.",[],2021-08-31 01:29:40
90,WhiteHouse,205,1238,"Since August 14, U.S. military aircraft evacuated more than 79,000 civilians from Kabul. This includes 5,526 Americans, and more than 73,500 third country nationals and Afghan civilians. This last category includes SIVs, consular staff, at-risk Afghans and their families.",[],2021-08-31 01:29:40
91,WhiteHouse,284,1609,"During the past 17 days, our troops evacuated over 120,000 U.S. citizens, citizens of our allies, and Afghan allies with unmatched courage, professionalism, and resolve. This is the largest non-combatant evacuation in the U.S. military’s history.",[],2021-08-31 01:29:40
92,WhiteHouse,1612,10943,"Today, the last C-17 lifted off from Kabul at 3:30 PM ET. Thanks to the men and women serving in uniform, we have now completed the largest airlift in U.S. history. Here is a closer look at this historic airlift. THREAD:",[],2021-08-31 01:29:39
93,WhiteHouse,670,0,"RT @StateDept: .@SecBlinken: More than 123,000 people have been safely flown out of Afghanistan. That includes about 6,000 American citizen…",[],2021-08-31 01:19:16
94,WhiteHouse,643,0,RT @DeptofDefense: Gen. McKenzie: The evacuation mission we just completed was the largest non-combatant evacuation in the U.S. military’s…,[],2021-08-31 01:08:59
95,WhiteHouse,2347,14217,"U.S. service members have officially completed the largest non-combatant evacuation in U.S. military history – evacuating more than 122,000 people from Afghanistan since the end of July. The women and men who completed this mission have ended America's longest war. https://t.co/z4fsStXUYz",[],2021-08-30 23:49:12
96,WhiteHouse,424,2304,"Federal, state, and local partners as well as non-governmental agencies are working around the clock to support the needs of areas affected by Ida. Please, continue to stay safe, stay informed, and follow the guidance of local officials. https://t.co/Cx1xsXvMnv",[],2021-08-30 19:32:12
97,WhiteHouse,312,1626,Tune in for a briefing with Press Secretary Jen Psaki. https://t.co/UzVrRR4S5a,[],2021-08-30 18:14:24
98,WhiteHouse,370,1839,Happening Now: President Biden delivers remarks on the response to Hurricane Ida. https://t.co/dYkq6z3dHK,[],2021-08-30 17:43:29
99,WhiteHouse,1020,4733,"In response to Hurricane Ida:
-More than 3,600 FEMA employees are deployed
-17 urban search and rescue teams are staged
-Hundreds of air and ground ambulances are staged
-FEMA has deployed more than 3.4 million meals 

Please, continue to follow the direction of local officials.",[],2021-08-30 15:01:16
100,WhiteHouse,162,0,RT @FEMAspox: We’re back in our briefing room this morning to discuss the latest developments on Hurricane #Ida and the damaging effects it…,['Ida'],2021-08-30 13:55:56
101,WhiteHouse,1510,8512,"Since August 14, the U.S. has evacuated and facilitated the evacuation of approximately 116,700 people. Since the end of July, we have re-located approximately 122,300 people",[],2021-08-30 13:02:24
102,WhiteHouse,1370,9756,"From 3 AM ET on 8/29 to 3AM ET on 8/30, a total of approximately 1,200 people were evacuated from Kabul. 26 US military flights carried approximately 1,200 evacuees and 2 coalition flights carried 50 people.",[],2021-08-30 13:02:24
103,WhiteHouse,291,0,"RT @FEMARegion6: Do your part by staying indoors as #Ida moves through Louisiana. We've got resources ready to go once the storm passes.
▶️…",['Ida'],2021-08-29 23:53:05
104,WhiteHouse,349,0,"RT @fema: Hurricane #Ida is causing catastrophic flooding. 
Below is a video for those who speak Spanish.

🔷Si necesita información en espa…",['Ida'],2021-08-29 19:42:57
105,WhiteHouse,457,0,"RT @fema: Stay safe during the flooding that #Ida will bring.
Below is a video in American Sign Language for those in the deaf community. h…",['Ida'],2021-08-29 19:42:54
106,WhiteHouse,305,0,"RT @fema: If you're in the path of #Ida, keep yourself safe from flooding. Below is a video for those who speak Vietnamese. https://t.co/79…",['Ida'],2021-08-29 19:42:50
107,WhiteHouse,315,0,"RT @fema: Hurricane #Ida will bring catastrophic flooding to Louisiana and Mississippi. 

NEVER drive or walk through floodwaters. 

We wil…",['Ida'],2021-08-29 19:42:46
108,WhiteHouse,217,0,"RT @fema: For those who speak Mandarin, Spanish, or Vietnamese, below are graphics in those languages to convey the importance of following…",[],2021-08-29 19:13:13
109,WhiteHouse,239,0,RT @fema: Hurricane #Ida is bringing life-threatening risks to the Louisiana Coast. It is SO important to follow instructions from your loc…,['Ida'],2021-08-29 19:12:55
110,WhiteHouse,331,0,"RT @fema: #Ida has made landfall in Louisiana. If you're sheltering at home, keep yourself &amp; your family safe with these tips:

🔸Go into an…",['Ida'],2021-08-29 19:02:04
111,WhiteHouse,309,0,"RT @fema: As #Ida approaches, follow instructions from your local officials. Know your evacuation zones/routes &amp; stock your vehicle with su…",['Ida'],2021-08-29 13:02:11
112,WhiteHouse,2305,14172,"Thanks to the incredible work of our troops — especially those in Afghanistan — the US has evacuated over 110,000 people from Afghanistan and counting. All arrivals to the United States go through screening and security vetting, are tested for COVID-19, and offered vaccines. https://t.co/5liAX2v3rx",[],2021-08-28 18:47:53
113,WhiteHouse,392,0,"RT @fema: We are monitoring the development and path of Tropical Storm #Ida. If you’re in the cone, now is the time to #BeReady:

🔹 Monitor…","['Ida', 'BeReady']",2021-08-28 15:24:00
114,WhiteHouse,1472,8129,"Since August 14, the U.S. has evacuated and facilitated the evacuation of approximately 111,900 people. Since the end of July, we have re-located approximately 117,500 people.",[],2021-08-28 14:22:17
