Date,CountryName_x,CountryCode_x,Jurisdiction,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,Daily_cases,like_index,retweet_index,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),Daily_cases_previous,Daily_cases_next
29/3/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-553893759.6428572,0.0,0.0,0.0,0.0,31171875.0,0.0,0.0,0.0,0.0,12573615,313866,-6150.21428571429,2489.698113,475.8490566,0.0,0.0,0.0,69005.35714285714,75155.57142857143
30/3/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-553893759.6428572,0.0,0.0,0.0,0.0,31171875.0,0.0,0.0,0.0,0.0,12658109,317646,-6115.642857142855,2489.698113,475.8490566,0.0,0.0,0.0,69325.78571428571,75441.42857142857
31/3/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,12748747,321515,-6019.857142857145,3261.020408,804.8979592,0.0,0.0,0.0,69513.85714285714,75533.71428571429
1/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,12839844,325284,-5690.142857142855,3261.020408,804.8979592,0.0,0.0,0.0,68549.14285714286,74239.28571428571
2/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,12910082,328206,-3041.142857142855,3261.020408,804.8979592,0.0,0.0,0.0,69197.14285714286,72238.28571428571
3/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,12953597,330193,2012.4285714285797,3261.020408,804.8979592,0.0,0.0,0.0,68188.85714285714,66176.42857142857
4/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,12984956,331433,3342.78571428571,3261.020408,804.8979592,0.0,0.0,0.0,67666.78571428571,64324.0
5/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13013601,332752,4587.21428571429,3261.020408,804.8979592,0.0,0.0,0.0,67442.35714285714,62855.142857142855
6/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13100580,336947,4067.357142857145,3261.020408,804.8979592,0.0,0.0,0.0,67277.5,63210.142857142855
7/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13193205,340776,2560.28571428571,2227.530303,458.6515152,0.0,0.0,0.0,66054.28571428571,63494.0
8/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13279857,345025,1915.0714285714275,2227.530303,458.6515152,0.0,0.0,0.0,64774.07142857143,62859.0
9/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13373174,348718,-272.2142857142899,2227.530303,458.6515152,0.0,0.0,0.0,65883.78571428571,66156.0
10/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13445006,351334,-2594.5714285714203,2227.530303,458.6515152,0.0,0.0,0.0,67606.71428571429,70201.28571428571
11/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13482023,353137,-2572.7857142857247,2227.530303,458.6515152,0.0,0.0,0.0,68436.78571428571,71009.57142857143
